hotel_name,location,rate,facility,category
OYO 2469 Sutomo Homestay,"Near Lempuyangan Train Station, Yogyakarta",4.8,"Free Wifi, Queen Sized Bed, AC, TV, Mini Fridge","Indonesia Suite Double, Indonesia Deluxe Twin, Indonesia Deluxe Double"
OYO 966 Dinda Guesthouse,"Near Maguwoharjo Stadium, Yogyakarta",NEW,"Window, Free Wifi, AC, TV, Parking Facility",Indonesia Standard Double
OYO 1592 Gading 4u Homestay,"Near Alun- Alun Kidul Yogyakarta, Yogyakarta",4.7,"Free Wifi, AC, TV, Seating Area, CCTV Cameras","Indonesia Suite Triple, Indonesia Standard Double"
OYO 857 Pakuncen Malioboro Syariah,"Near Malioboro, Yogyakarta",NEW,"Free Wifi, AC, TV, Seating Area, Parking Facility","Indonesia Standard Double, Indonesia Standard Twin"
OYO 90178 Pangeran Residence,"126, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Yogyakarta",4.5,"AC, TV, Parking Facility, CCTV Cameras, Reception","Standard Twin Room, Indonesia Standard Double"
OYO 1643 Grand Monica,"Near Hartono Mall Yogyakarta, Yogyakarta",NEW,"Free Wifi, Queen Sized Bed, AC, CCTV Cameras, Reception","Saver Double, Indonesia Standard Twin, Indonesia Standard Double"
OYO 572 Omah Gedongkuning Syariah Homestay,"Near Gembira Loka Zoo, Yogyakarta",4.6,"Free Wifi, Twin Single Bed, King Sized Bed, Queen Sized Bed, AC",Indonesia Standard Double
OYO 586 Hotel Wijaya,"Near Adisucipto International Airport, Yogyakarta",4.7,"Free Wifi, AC, TV, Parking Facility, CCTV Cameras","Indonesia Standard Double, Indonesia Suite Triple, Indonesia Standard Twin, Indonesia Deluxe Double, Indonesia Suite Double, Indonesia Suite Family"
OYO 759 Hotel Dewi Sri,"Near Alun- Alun Kidul Yogyakarta, Yogyakarta",NEW,"Free Wifi, Kitchen, Twin Single Bed, AC, TV","Indonesia Standard Twin, Indonesia Deluxe Twin, Indonesia Deluxe Double"
Collection O 3280 Cendhani Raras,"Jl. Bima no. 13A Tegal tanda Banguntapan Bantul, Yogyakarta",NEW,"Window, AC, TV, Parking Facility, Coffee/Tea Maker","Indonesia Standard Double, Indonesia Deluxe Double, Indonesia Suite Double"
OYO 90695 Srikandi Nologaten,"1, Indomaret, Jalan Nologaten, Catur tunggal, Depok, Sleman, Daerah Istimewa Yogyakarta, Indonesia, Yogyakarta",NEW,"Window, AC, TV","Deluxe Twin Room, Deluxe Double"
OYO 1778 Omah Duwet,"Near Tridadi Stadium, Yogyakarta",4.7,"Free Wifi, Twin Single Bed, King Sized Bed, Queen Sized Bed, AC",Indonesia Standard Twin
OYO 1046 Omah Pathok,Near Malioboro,NEW,"Free Wifi, Queen Sized Bed, AC, TV, Parking Facility","Indonesia Deluxe Double, Indonesia Deluxe Twin"
OYO 1431 Travel-inn,"Near Sindu Kusuma Edupark (SKE), Yogyakarta",NEW,"Free Wifi, Queen Sized Bed, AC, TV, Seating Area","Indonesia Suite Triple, Indonesia Deluxe Double"
OYO 194 Hotel Sapta Gria,"Near Lippo Plaza Jogja, Yogyakarta",NEW,"Free Wifi, King Sized Bed, AC, Swimming Pool, TV","Indonesia Standard Double, Indonesia Standard Twin"
OYO 952 Annisa Syariah Guest House,"Near Jogja Bay, Yogyakarta",NEW,"Window, Free Wifi, Kitchen, AC, TV","Indonesia Deluxe Double, Indonesia Deluxe Twin"
OYO 2669 Crown Residence,"Near Tugu Pal Putih, Yogyakarta",NEW,"Free Wifi, Queen Sized Bed, AC, TV, CCTV Cameras","Indonesia Standard Double, Delux Family, Indonesia Standard Twin, Indonesia Deluxe Double"
